User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
CDC,@CDCgov,2021-03-29T21:00:14.000Z,"#COVID19 vaccines are an important tool to stop the pandemic. 
As of March 29, more than 95 million people in the United States had received at least one dose of COVID-19 vaccine. Of those, more than 52.6 million are fully vaccinated. 
More: http://bit.ly/CDT_vaccine.",42,116,221
CDC,@CDCgov,2021-03-29T19:41:02.000Z,DYK? CDC does not recommend using masks with exhalation valves or vents. The hole in the material could let respiratory droplets that spread #COVID19 escape & reach others. More on masks: https://bit.ly/3rwONrz.,53,152,232
CDC,@CDCgov,2021-03-29T19:00:17.000Z,"#Antibiotics are important for treating some infections, but they should be used only when necessary and only as prescribed. Antibiotics CANNOT treat viruses, like those that cause #COVID19 and #flu. Learn more: http://cdc.gov/drugresistance.",26,116,224
CDC,@CDCgov,2021-03-29T17:05:08.000Z,Regular medical checkups & recommended vaccinations are essential for children of all ages. Their doctor tracks growth & development and identifies vaccinations needed to protect against serious diseases. Learn about checkups during the #COVID19 pandemic: https://bit.ly/381JKHu.,21,69,113
CDC,@CDCgov,2021-03-29T16:15:09.000Z,"Join today’s CDC #COVID19 Partner Update call at 3:00 pm EDT, “Understanding the Impact of Telehealth Usage During the COVID-19 Pandemic.”

Retweet and Register: https://bit.ly/3vUyKXY.

#Telehealth #DigitalHealth",17,36,80
CDC,@CDCgov,2021-03-27T17:45:04.000Z,"#WearAMask
 when you are taking care of someone who may have #COVID19. Put your mask on before you go into the room with that person. They should wear a mask, too, if possible. Learn more about caring for people with #COVID19 at home: 
https://bit.ly/3a5uKZo.",89,230,485
CDC,@CDCgov,2021-03-27T16:46:00.000Z,"#SchoolMeals are nutritious and meet federal nutrition standards. ALL children, regardless of household income, can get FREE meals for the rest of the #school year. Learn more: https://bit.ly/3p2CbXP.
#CDCHealthySchools #SchoolMeals4EveryoneWhat Goes Into School Breakfast & Lunch
cdc.gov",16,106,171
CDC,@CDCgov,2021-03-26T20:51:00.000Z,"Gathering outdoors is safer, but if you gather indoors, help protect against #COVID19: Wear a mask. Stay at least 6 feet apart. Avoid crowds. Open doors and windows. Place a fan near an open window, blowing outside. We can protect each other. More: https://bit.ly/3bGvO6p.",139,304,501
CDC,@CDCgov,2021-03-26T19:40:02.000Z,"Johnson & Johnson's Janssen #COVID19 vaccine is being held to the same rigorous safety and effectiveness standards as all other types of vaccines in the United States. 
@US_FDA
 makes vaccines available only if they meet these standards. Learn more: https://bit.ly/31sDVjD.",60,107,281
CDC,@CDCgov,2021-03-26T18:59:04.000Z,Subscribe to get CDC’s COVID Data Tracker Weekly Review sent to your inbox every Friday: http://bit.ly/CDTsubscribe.,13,11,27
CDC,@CDCgov,2021-03-26T18:59:03.000Z,Robust testing for #COVID19 is essential to our success in ending the pandemic in the U.S. Testing helps identify people with COVID-19 so we can prevent further spread in our communities. Learn more in CDC’s COVID Data Tracker Weekly Review: http://bit.ly/CDTweeklyreview.,29,64,103
CDC,@CDCgov,2021-03-26T18:15:06.000Z,"Public health professionals: Before creating a business plan for a new program, determine if it’s worth pursuing. Learn how to start one in this training from 
@UWSPH
’s Northwest Center for Public Health Practice. https://bit.ly/3d1jhNa #CDCLearning",10,20,51
CDC,@CDCgov,2021-03-26T17:54:06.000Z,"Close contacts are the people you were around in the two days before your symptoms started (or two days before your #COVID19 test, if you had no symptoms), until you started isolation. Learn more: http://bit.ly/3r2Pmd1.",16,75,118
MMWR,@CDCMMWR,2021-03-26T14:30:12.000Z,"A new study shows continued large declines in vaccine-type HPV infections among females aged 14 to 24 years, demonstrating the high effectiveness of #HPV #vaccination since its introduction in the US in 2006. Read the report http://bit.ly/7012a2",6,50,109
CDC,@CDCgov,2021-03-26T17:23:00.000Z,"Tonia McMillian, a California family childcare provider, shares why she decided to receive her #COVID19 vaccine and encourages others to #SleeveUpForChildcare, too. 
#SleeveUpForSchools #SleeveUpForHeadStart",28,90,213
CDC Environment,@CDCEnvironment,2021-03-25T15:12:05.000Z,"Cleaning your home? Remember to never mix household bleach with ammonia or any other cleaner—it can create dangerous, toxic fumes. More info: https://bit.ly/2S2a9yc #NPPW21 #PreventPoison #PoisonHelp",6,79,142
CDC,@CDCgov,2021-03-25T17:56:02.000Z,"#Tuberculosis is curable & preventable yet remains one of the world’s deadliest disease threats as the #COVID19 pandemic has undermined global progress. See a new 
@CDCMMWR
 for how CDC and many others are working to achieve a world without TB. http://bit.ly/7012a4",23,56,116
